issue_number,created_at,labels,comments,author,description
52148,2024-06-18 16:40:01+00:00,[],0,matthewford,"### Steps to reproduce
Running in Docker, we have SECRET_KEY_BASE_DUMMY=1, which skips the check for the master key; ideally, we have something similar for ActiveRecord::Encryption keys, so we do not have to define dummy values for the primary_key etc. Or we could reuse that same dummy key to skip ActiveRecord::Encryption key checks.

If you load your config.active_record.encryption from environment variables, these are typically not available at build time; they are only available on runtime, which throws an error when compiling assets.

### Expected behavior
Assets should compile

### Actual behavior

```
KeyError: key not found: ""ACTIVE_RECORD_ENCRYPTION_PRIMARY_KEY"" (KeyError)
```
### System configuration

**Rails version**:
7.1.3

**Ruby version**:
3.3.1"
52147,2024-06-18 10:36:15+00:00,['activerecord'],2,fxn,"The purpose of this patch is to define upfront the concepts involved in this API.

@casperisfine what do you think?"
52146,2024-06-18 08:40:42+00:00,[],1,afdev82,"Hello,

I would like to render a partial with the jsonld format, but I have got ""ActionView::MissingTemplate"" after upgrading to Rails 7.0:

> Missing partial layouts/_application with {:locale=>[:en], :formats=>[:jsonld], :variants=>[], :handlers=>[:raw, :erb, :html, :builder, :ruby, :""inky-builder"", :""inky-erb"", :""inky-html"", :""inky-raw"", :""inky-ruby"", :inky, :prawn, :""inky-prawn"", :jbuilder, :""inky-jbuilder"", :haml, :""inky-haml""]}.

```
_application.jsonld.jbuilder

javascript_tag type: 'application/ld+json' do
  raw render partial: 'layouts/application', formats: [:jsonld]
end
```

This code worked fine in Rails prior v7.0 (v6.1).
I have solved it in Rails prior v7.1, adding the format using an initializer:

```
ActionView::Base.default_formats.push(:jsonld)
```

But now in Rails v7.1 I am getting the following error everytime the formats contain `""*/*""`:

```
ArgumentError in Ahoy::VisitsController#create

Invalid formats: 
Extracted source (around line #272):

#270         unless Template::Types.valid_symbols?(values)
#271           invalid_values = values - Template::Types.symbols
*272 [""          "", ""raise"", "" ArgumentError, \""Invalid formats: \#{invalid_values.map(&:inspect).join(\"", \"")}\""\n""]#273         end
#274 
#275         if (values.length == 1) && (values[0] == :js)

``` 
I have used byebug to understand what's going on [here](https://github.com/rails/rails/blob/main/actionview/lib/action_view/lookup_context.rb#L269-L272).
The `invalid_values`is empty, anyway the `Template::Types.valid_symbols?(values)` method is `false`.
How could it be? Is it a bug?
If I remove the jsonld format in the initializer I don't have that exception, but I get again the MissingTemplate error if I try to render the jsonld partial.

I have searched hard how to add a new format to actionview in the docs, but I haven't found anything.
Thank you for your help!

### System configuration
**Rails version**: 7.1.3.4
**Ruby version**: 3.3.2
"
52145,2024-06-18 07:47:04+00:00,"['activemodel', 'activerecord']",0,casperisfine,"Fix: https://github.com/rails/rails/issues/52144

When defining regular attributes, inherited methods aren't overriden, however when defining aliased attributes, inherited methods aren't considered.

This behavior could be debatted, but that was the behavior prior to https://github.com/rails/rails/pull/52118, so I'm restoring it.

FYI: @chaadow "
52144,2024-06-17 22:12:19+00:00,[],3,chaadow,"Related to https://github.com/rails/rails/pull/52118
### Steps to reproduce
```ruby
# frozen_string_literal: true

require ""bundler/inline""

gemfile(true) do
  source ""https://rubygems.org""

  # At the commit that introduced this issue
  gem ""rails"", github: ""rails/rails"", ref: 'a2fb85152662751b4055001b6f0b7c1f5c0cb3b3'
  # Or 
  # gem ""rails"", github: ""rails/rails"", branch: 'main'

  # Before the commit that introduced this issue ( -1 )
  # gem ""rails"", github: ""rails/rails"", ref: '3ec2f1941759cc6eb0935e5f9a9bc176dbb0be0a'

  gem 'sqlite3'
end

require ""active_record""
require ""minitest/autorun""
require ""logger""

# This connection will do for database-independent bug reports.
ActiveRecord::Base.establish_connection(adapter: ""sqlite3"", database: "":memory:"")
ActiveRecord::Base.logger = Logger.new(STDOUT)

ActiveRecord::Schema.define do
  create_table :users, force: true do |t|
    t.string :name
  end
end

class ApplicationRecord < ActiveRecord::Base
  primary_abstract_class

  def some_method
    'hello'
  end
end

 # Inherits from a class that defined `#some_method`
class User < ApplicationRecord
  alias_attribute :some_method, :name
end

class BugTest < Minitest::Test
  def test_that_some_method_can_still_be_used_as_alias
    user = User.create!(name: 'chaadow')

    assert_equal 'chaadow', user.some_method
  end
end
```

### Expected behavior
Before https://github.com/rails/rails/pull/52118, alias_attribute would work on methods defined in `ApplicationRecord` ( or any parent class I believe)

calling the aliased method would use the value of the column

### Actual behavior
<!-- Tell us what happens instead -->
Right now, it uses the value from ApplicationRecord ( the parent)
```sh
  1) Failure:
BugTest#test_that_some_method_can_still_be_used_as_alias [ruby.rb:50]:
Expected: ""chaadow""
  Actual: ""hello""
```


### System configuration
**Rails version**: `main` or this `gem ""rails"", github: ""rails/rails"", ref: 'a2fb85152662751b4055001b6f0b7c1f5c0cb3b3'`

**Ruby version**: `3.3.3`
"
52143,2024-06-17 18:28:08+00:00,"['actionpack', 'activerecord', 'activestorage']",0,skipkayhil,"Fixes error in CI:

```
1.047 yarn install v1.22.22
1.102 error SyntaxError: Invalid value type 268:0 in /rails/yarn.lock
1.102     at Parser.unexpected (/usr/share/yarn/lib/cli.js:64026:11)
1.102     at Parser.parse (/usr/share/yarn/lib/cli.js:64154:16)
1.102     at Parser.parse (/usr/share/yarn/lib/cli.js:64131:26)
1.102     at parse (/usr/share/yarn/lib/cli.js:64231:21)
1.102     at module.exports.exports.default (/usr/share/yarn/lib/cli.js:63793:96)
1.102     at Function.<anonymous> (/usr/share/yarn/lib/cli.js:3068:63)
1.102     at Generator.next (<anonymous>)
1.102     at step (/usr/share/yarn/lib/cli.js:310:30)
1.102     at /usr/share/yarn/lib/cli.js:321:13
1.102 info Visit https://yarnpkg.com/en/docs/cli/install for documentation about this command.
```
"
52142,2024-06-17 15:13:53+00:00,['third party issue'],11,zameo94,"### Steps to reproduce
When I try to pass the form_builder to a partial as local, I've got an infinite loop with this error:
```
Completed 500  in 1701ms (ActiveRecord: 1314.9ms | Allocations: 163362)



SystemStackError (stack level too deep):

app/views/admin/authors/_form.html.erb:357
```
The code is:

```
<%= form_for [:admin, @author], html: { class: 'form form-horizontal', multipart: true, style: 'margin-bottom: 0' } do |f| %>
  <%= render partial: 'my_partial', locals: { f: f } %>
<% end %>
```
I noticed this problem after updating to Rails 7.1.3.4 (was 7.0.8.4)

### System configuration
**Rails version**: 7.1.3.4

**Ruby version**: 3.3.2
"
52141,2024-06-17 13:53:37+00:00,['actionpack'],0,MaxLap,"This previous PR of mine fails when tested on Ruby Master: https://github.com/rails/rails/pull/50305

Here is a failure log: https://buildkite.com/rails/rails-nightly/builds/655#01901367-e42b-4b4e-be19-797bef5f58cd/1213-1222

The failures are causes by changes in the format of backtraces in Ruby 3.4.

There are at least these two, but I suspect there is at least another change since classes are now displayed.
https://bugs.ruby-lang.org/issues/16495
https://bugs.ruby-lang.org/issues/20275

In fixing this while still doing proper testing, I had to alter `raise_nested_exceptions` to use distinct methods to be able to test that the backtrace is the right one, since in Ruby 3.4, the backtrace of each nested exception became identical (since there is no more ""rescue in"" entry in the trace). This then required my to fix & improve the other test that used `raise_nested_exceptions`.

I don't know if it's possible to do a full test against master in buildkite from a PR. On my side, I installed a fresh ruby-head and tested the changes on it as well as Ruby 3.2.2 and 3.3.2. (I tested in `actionpack` only)"
52140,2024-06-17 08:55:48+00:00,['railties'],1,p8,"Calling `config` directly doesn't work in the framework defaults.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52139,2024-06-16 22:39:27+00:00,[],1,JESii,"### Steps to reproduce
<!-- (Guidelines for creating a bug report are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#creating-a-bug-report)) -->

<!-- Paste your executable test case created from one of the scripts found [here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#create-an-executable-test-case) below: -->
```ruby
# Your reproduction script goes here
```
No script... just watch the video and try to duplicate the results.

### Expected behavior
<!-- Tell us what should happen -->
Should be able to follow the video, repeat the steps, and have the thing work.
### Actual behavior
<!-- Tell us what happens instead -->
Two issues
1. MINOR: The presenter doesn't clear the screen between commands... so you have to fiddle with the video controls, forward and backward, to see the command to be able to duplicate it. Just clear the screen between commands.
2. MAJOR: the demo steps do not work. There's nothing there about installing and configuring the database (PostgreSQL as the default), and finding the correct steps is a complete rabbit hole (2+ hours so far and still not there). Extremely poor form to present a video that purports to show you how to use Rails and then learn that it's fatally flawed. Good thing I've used Rails before; if I weren't committed to figuring out what to do, I'd say: ""What a piece of junk this thing is. I'm going elsewhere"".

It would have been so easy to make a video with the information required to actually follow the video and get something running.
It could have been as simple as a list of prerequisites.

### System configuration
**Rails version**:
7.1.3.4

**Ruby version**:
4.2.4
"
52138,2024-06-16 18:10:58+00:00,"['actionpack', 'actionmailbox']",2,skipkayhil,"### Motivation / Background

Fixes #52125

### Detail

Starting in Rack 3.1, rack.input is optional, so `read_body_stream` (used by `raw_post`) can no longer call `read` unconditionally.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52137,2024-06-16 13:25:03+00:00,['actionview'],10,willianveiga,"### Motivation / Background

In order to generate an HTML datalist element with Rails I needed the following code:

```ruby
<%= content_tag(:datalist, nil, id: :payees_datalist, 'data-autocomplete-input-target' => :datalist) do %>
  <% @payees.each do |payee| %>
    <%=
      content_tag(
        :option,
        nil,
        value: payee.name,
        data: { id: payee.id },
        'data-autocomplete-input-target' => 'datalistOption'
      )
    %>
  <% end %>
<% end %>
```

It would be great to have a simple way to do that.

### Detail

This Pull Request adds `datalist_tag`:

```ruby
  datalist_tag('countries_datalist', ['Argentina', ['Brazil', { class: 'brazilian_option' }],
               ['Chile', 'CL', { disabled: true }]], { class: 'sa-countries-sample' })

  => <datalist id=""countries_datalist"" class=""sa-countries-sample"">
       <option value=""Argentina"">Argentina</option>
       <option value=""Brazil"" class=""brazilian_option"">Brazil</option>
       <option value=""CL"" disabled=""disabled"">Chile</option>
     </datalist>
```"
52136,2024-06-16 12:45:10+00:00,['railties'],4,smitssjors,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

When a new app is generated with the `--edge` option the command `RAILS_ENV=production rails server` fails as `worker_count` is undefined in line 25. This change fixes the variable name.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52135,2024-06-16 12:15:17+00:00,[],0,gsmetal,"There is a problem with loading `has_many through` association, when the intermediate association is called differently than the name of the table and keys' type is overridden (through `attribute`). 

Initially, my problem was something similar to [this bug](https://github.com/nedap/mysql-binuuid-rails/issues/61) in the gem I am using. My investigation led me to [this line](https://github.com/rails/rails/blob/19eebf6d33dd15a0172e3ed2481bec57a89a2404/activerecord/lib/active_record/relation/predicate_builder.rb#L87), where `where` condition for `through` query tries to find `table_metadata` of associated table (which name is taken somewhere [here](https://github.com/rails/rails/blob/19eebf6d33dd15a0172e3ed2481bec57a89a2404/activerecord/lib/active_record/associations/association_scope.rb#L62)), but it is trying to find it in the **reflections** using **table name** [here](https://github.com/rails/rails/blob/19eebf6d33dd15a0172e3ed2481bec57a89a2404/activerecord/lib/active_record/table_metadata.rb#L39). 

So, if I understand correctly:
* we are building conditions from reflection using **table name**
* then we are trying to find table metadata for associated table by this **table name**
* but we are doing this using the reflections and trying to find **reflection** using this **table name**, not the reflection name
* and when the association_name (= reflection_name) is not equal to the table name, the reflection is not found and table_metadata then does not know anything about klass (created with `nil` [here](https://github.com/rails/rails/blob/19eebf6d33dd15a0172e3ed2481bec57a89a2404/activerecord/lib/active_record/table_metadata.rb#L58))
* that's why it doesn't know about type customization when determining type somewhere [here](https://github.com/rails/rails/blob/19eebf6d33dd15a0172e3ed2481bec57a89a2404/activerecord/lib/active_record/relation/predicate_builder.rb#L68) and just uses the default type from schema


### Steps to reproduce
<!-- (Guidelines for creating a bug report are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#creating-a-bug-report)) -->


<!-- Paste your executable test case created from one of the scripts found [here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#create-an-executable-test-case) below: -->
```ruby
# frozen_string_literal: true

require ""bundler/inline""

gemfile(true) do
  source ""https://rubygems.org""

  git_source(:github) { |repo| ""https://github.com/#{repo}.git"" }

  # Activate the gem you are reporting the issue against.
  gem ""rails"", ""~> 7.1.0""
  gem ""sqlite3"", ""~> 1.4""
end

require ""active_record""
require ""minitest/autorun""
require ""logger""

# This connection will do for database-independent bug reports.
ActiveRecord::Base.establish_connection(adapter: ""sqlite3"", database: "":memory:"")
ActiveRecord::Base.logger = Logger.new(STDOUT)

ActiveRecord::Schema.define do
  create_table :books, force: true do |t|
    t.string :nick, null: false

    t.index :nick, unique: true
  end

  create_table :books_subscriptions, force: true do |t|
    t.string :subscriber_nick
    t.string :book_nick
  end

  create_table :subscribers, force: true do |t|
    t.string :nick, null: false

    t.index :nick, unique: true
  end
end

class NickType < ActiveRecord::Type::String
  def serialize(value)
    super(""nickname-#{value}"")
  end

  def deserialize(value)
    super(value).to_s.delete_prefix(""nickname-"")
  end

  def cast_value(value)
    value.to_s
  end
end

class TestGeneralTypeWithCustomAssocationName < Minitest::Test
  class Book < ActiveRecord::Base
    self.table_name = 'books'

    has_many :subscriptions, class_name: 'BooksSubscription', foreign_key: :subscriber_nick, primary_key: :nick
    has_many :subscribers, through: :subscriptions
  end

  class BooksSubscription < ActiveRecord::Base
    self.table_name = 'books_subscriptions'

    belongs_to :subscriber, foreign_key: :subscriber_nick, primary_key: :nick
    belongs_to :book, foreign_key: :book_nick, primary_key: :nick
  end

  class Subscriber < ActiveRecord::Base
    self.table_name = 'subscribers'

    has_many :subscriptions, class_name: 'BooksSubscription', foreign_key: :subscriber_nick, primary_key: :nick
    has_many :books, through: :subscriptions
  end

  def setup
    @book = Book.create! nick: 'book-one'
    @subscriber = Subscriber.create! nick: 'subscriber-one'

    BooksSubscription.create! subscriber: @subscriber, book: @book
  end

  def teardown
    Book.delete_all
    Subscriber.delete_all
    BooksSubscription.delete_all
  end

  def test_load_through
    assert_equal [@book], @subscriber.reload.books.to_a
  end
end

class TestCustomTypeWithUsualAssocationName < Minitest::Test
  class Book < ActiveRecord::Base
    self.table_name = 'books'
    attribute :nick, NickType.new

    has_many :books_subscriptions, foreign_key: :subscriber_nick, primary_key: :nick
    has_many :subscribers, through: :subscriptions
  end

  class BooksSubscription < ActiveRecord::Base
    self.table_name = 'books_subscriptions'
    attribute :subscriber_nick, NickType.new
    attribute :book_nick, NickType.new

    belongs_to :subscriber, foreign_key: :subscriber_nick, primary_key: :nick
    belongs_to :book, foreign_key: :book_nick, primary_key: :nick
  end

  class Subscriber < ActiveRecord::Base
    self.table_name = 'subscribers'
    attribute :nick, NickType.new

    has_many :subscriptions, class_name: 'BooksSubscription', foreign_key: :subscriber_nick, primary_key: :nick
    has_many :books, through: :subscriptions
  end


  def setup
    @book = Book.create! nick: 'book-one'
    @subscriber = Subscriber.create! nick: 'subscriber-one'

    BooksSubscription.create! subscriber: @subscriber, book: @book
  end

  def teardown
    Book.delete_all
    Subscriber.delete_all
    BooksSubscription.delete_all
  end

  def test_load_through
    assert_equal [@book], @subscriber.reload.books.to_a
  end
end

class TestCustomTypeWithCustomAssocationName < Minitest::Test
  class Book < ActiveRecord::Base
    self.table_name = 'books'
    attribute :nick, NickType.new

    has_many :subscriptions, class_name: 'BooksSubscription', foreign_key: :subscriber_nick, primary_key: :nick
    has_many :subscribers, through: :subscriptions
  end

  class BooksSubscription < ActiveRecord::Base
    self.table_name = 'books_subscriptions'
    attribute :subscriber_nick, NickType.new
    attribute :book_nick, NickType.new

    belongs_to :subscriber, foreign_key: :subscriber_nick, primary_key: :nick
    belongs_to :book, foreign_key: :book_nick, primary_key: :nick
  end

  class Subscriber < ActiveRecord::Base
    self.table_name = 'subscribers'
    attribute :nick, NickType.new

    has_many :subscriptions, class_name: 'BooksSubscription', foreign_key: :subscriber_nick, primary_key: :nick
    has_many :books, through: :subscriptions
  end


  def setup
    @book = Book.create! nick: 'book-one'
    @subscriber = Subscriber.create! nick: 'subscriber-one'

    BooksSubscription.create! subscriber: @subscriber, book: @book
  end

  def teardown
    Book.delete_all
    Subscriber.delete_all
    BooksSubscription.delete_all
  end

  def test_load_through
    assert_equal [@book], @subscriber.reload.books.to_a
  end
end

```

I based this test case on the one of the [existing tests](https://github.com/gmcgibbon/rails/blob/678dd6ab805a2a39d685e066d089614d1845c720/activerecord/test/cases/reflection_test.rb#L520) from the [PR](https://github.com/rails/rails/pull/39254) I've bumped into while discovering this behavior.

### Expected behavior

All three test cases should work: 
* `has_many through` loading with custom association name and custom keys with usual type
* `has_many through` loading with usual association name and custom keys with custom type
* `has_many through` loading with custom association name and custom keys with custom type

### Actual behavior

Third case is failing 

```
Failure:
TestCustomTypeWithCustomAssocationName#test_load_through [reflection_test.rb:182]:
--- expected
+++ actual
@@ -1 +1 @@
-[#<TestCustomTypeWithCustomAssocationName::Book id: 3, nick: ""book-one"">]
+[]

```

From the log we can see, that the problem is in the result SQL: 
```
D, [2024-06-16T14:04:20.816711 #774145] DEBUG -- :   TestCustomTypeWithCustomAssocationName::Book Load (0.0ms)  SELECT ""books"".* FROM ""books"" INNER JOIN ""books_subscriptions"" ON ""books"".""nick"" = ""books_subscriptions"".""book_nick"" WHERE ""books_subscriptions"".""subscriber_nick"" = ?  [[""subscriber_nick"", ""subscriber-one""]]
```

It uses not serialized value of the foreign key, like in second test: 
```
D, [2024-06-16T14:04:20.810891 #774145] DEBUG -- :   TestCustomTypeWithUsualAssocationName::Book Load (0.0ms)  SELECT ""books"".* FROM ""books"" INNER JOIN ""books_subscriptions"" ON ""books"".""nick"" = ""books_subscriptions"".""book_nick"" WHERE ""books_subscriptions"".""subscriber_nick"" = ?  [[""subscriber_nick"", ""nickname-subscriber-one""]]

```

### System configuration
**Rails version**: 7.1.3.4

**Ruby version**: 3.2.4
"
52134,2024-06-16 05:22:08+00:00,['activerecord'],10,janarthanan-shanmugam,"### Description

This pull request introduces a new ParallelQuery module to the ActiveRecord library, specifically designed to enhance query performance for PostgreSQL databases by leveraging parallel execution capabilities.

### Motivation
Modern databases, including PostgreSQL, support parallel query execution to utilize multiple CPU cores for faster data retrieval. However, Rails' ActiveRecord does not natively configure these parallel settings, potentially missing out on significant performance improvements for complex queries. This module aims to bridge that gap by dynamically configuring PostgreSQL settings to enable and optimize parallel execution.
#### Why This Feature Is Important
**Performance Improvement:** Parallel queries can drastically reduce execution times for large and complex queries, especially those involving heavy computational operations or large datasets.
**Resource Utilization:** Makes better use of modern multi-core processors by distributing query execution across multiple CPU cores.
**Scalability:** Enhances the scalability of Rails applications by improving the database layer's efficiency, which is often a bottleneck in high-load scenarios.

### Key Changes
#### Introduction of ParallelQuery Module:

A new module, ActiveRecord::ParallelQuery, is added. This module provides a parallel_query method that configures the PostgreSQL settings for parallel execution before executing the provided block of code.
Dynamic Configuration of PostgreSQL Settings:

The parallel_query method sets several PostgreSQL parameters to optimize parallel execution:
**max_parallel_workers_per_gather**: Sets the maximum number of workers that can be used for parallel execution.
**work_mem**: Increases the memory available for internal operations to avoid disk I/O.
**parallel_setup_cost** and **parallel_tuple_cost**: Lowers the costs to make parallel execution more attractive to the query planner.
**min_parallel_table_scan_size** and **min_parallel_index_scan_size**: Ensures even small scans are considered for parallel execution.
**Resetting Settings Post-Execution:**

After executing the query block, the method ensures that all PostgreSQL settings are reset to their original values to avoid unintended side effects on subsequent queries.

**Compatibility with Other Adapters:**

The module includes a conditional check to ensure that it only applies these settings to PostgreSQL adapters. For other adapters (e.g., MySQL, SQLite, SQL Server), the query block is executed without modification, there we can add the changes if in future those adapters supports this functionalities.

#### Detailed Code Changes
**Module Definition:**
Added lib/active_record/parallel_query.rb with the new ParallelQuery module.
Integration with ActiveRecord:
Included the ParallelQuery module in ActiveRecord::Base to make the parallel_query method available to all models.
<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->


### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52133,2024-06-16 04:58:52+00:00,['activerecord'],1,janarthanan-shanmugam,"### Description

This pull request introduces a new ParallelQuery module to the ActiveRecord library, specifically designed to enhance query performance for PostgreSQL databases by leveraging parallel execution capabilities.

### Motivation
Modern databases, including PostgreSQL, support parallel query execution to utilize multiple CPU cores for faster data retrieval. However, Rails' ActiveRecord does not natively configure these parallel settings, potentially missing out on significant performance improvements for complex queries. This module aims to bridge that gap by dynamically configuring PostgreSQL settings to enable and optimize parallel execution.
#### Why This Feature Is Important
**Performance Improvement:** Parallel queries can drastically reduce execution times for large and complex queries, especially those involving heavy computational operations or large datasets.
**Resource Utilization:** Makes better use of modern multi-core processors by distributing query execution across multiple CPU cores.
**Scalability:** Enhances the scalability of Rails applications by improving the database layer's efficiency, which is often a bottleneck in high-load scenarios.

### Key Changes
#### Introduction of ParallelQuery Module:

A new module, ActiveRecord::ParallelQuery, is added. This module provides a parallel_query method that configures the PostgreSQL settings for parallel execution before executing the provided block of code.
Dynamic Configuration of PostgreSQL Settings:

The parallel_query method sets several PostgreSQL parameters to optimize parallel execution:
**max_parallel_workers_per_gather**: Sets the maximum number of workers that can be used for parallel execution.
**work_mem**: Increases the memory available for internal operations to avoid disk I/O.
**parallel_setup_cost** and **parallel_tuple_cost**: Lowers the costs to make parallel execution more attractive to the query planner.
**min_parallel_table_scan_size** and **min_parallel_index_scan_size**: Ensures even small scans are considered for parallel execution.
**Resetting Settings Post-Execution:**

After executing the query block, the method ensures that all PostgreSQL settings are reset to their original values to avoid unintended side effects on subsequent queries.

**Compatibility with Other Adapters:**

The module includes a conditional check to ensure that it only applies these settings to PostgreSQL adapters. For other adapters (e.g., MySQL, SQLite, SQL Server), the query block is executed without modification, there we can add the changes if in future those adapters supports this functionalities.

#### Detailed Code Changes
**Module Definition:**
Added lib/active_record/parallel_query.rb with the new ParallelQuery module.
Integration with ActiveRecord:
Included the ParallelQuery module in ActiveRecord::Base to make the parallel_query method available to all models.
<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->


### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52132,2024-06-15 19:18:49+00:00,['activesupport'],1,skipkayhil,"### Motivation / Background

The Logger severity predicates have existed since the [introduction of Logger][1]. However, these methods only looked at the `level` instance variable, so they did not work with the [thread safe implementation][2] of temporary log levels in Rails.

Since then, the Logger severity predicates were [updated][3] to use the `level` method instead of the instance variable, making Rails' severity predicate overrides obsolete.

### Detail

This commit removes Rails' custom severity predicates in favor of Logger's implementation, since the new implementation was released in Logger 1.4.2 and came bundled with Ruby 2.7.0.

[1]: https://github.com/ruby/logger/commit/525b58d97eb7dd1375f59dec6e4f34ebff0c0ecb
[2]: https://github.com/rails/rails/commit/629efb605728b31ad9644f6f0acaf3760b641a29
[3]: https://github.com/ruby/logger/commit/7365c995bfde6cc52ad6c481e4c6fff32780025c

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.

This change only touches undocumented, internal methods so a CHANGELOG entry doesn't seem necessary."
52131,2024-06-15 12:53:33+00:00,['activerecord'],0,fatkodima,"Follow up to #51349.

In 2 places the call `with_connection` is not needed, in another - just `connection` is used.

cc @byroot "
52130,2024-06-15 11:51:20+00:00,['docs'],1,fxn,"This patch complements #52124 by documenting transactions w/ multiple writing databases.

@eileencodes going to merge optimistically. Tried to explain this briefly, but dropping a ""writing"" in there to make clear we are not talking about just having replicas. Please, let me know if you'd like to revise anything!

"
